Country,Code,Year,ElectricityGeneration(TWh)
Rwanda,RWA,2019,0.78268
Saint Helena,SHN,2019,0.008333333
Saint Kitts and Nevis,KNA,2019,0.195933333
Saint Lucia,LCA,2019,0.383828667
Saint Pierre and Miquelon,SPM,2019,0.048666667
Saint Vincent and the Grenadines,VCT,2019,0.142
Samoa,WSM,2019,0.136548667
Sao Tome and Principe,STP,2019,0.09
Saudi Arabia,SAU,2019,361.4622733
Senegal,SEN,2019,4.696213333
Serbia,SRB,2019,34.72844667
Seychelles,SYC,2019,0.433333333
Sierra Leone,SLE,2019,0.274256
Singapore,SGP,2019,51.164
Slovakia,SVK,2019,28.19711585
Slovenia,SVN,2019,16.03612784
Solomon Islands,SLB,2019,0.108903
Somalia,SOM,2019,0.3472
South & Central America,,2019,1329.333286
South Africa,ZAF,2019,234.75197
South Korea,KOR,2019,546.438648
South Sudan,SSD,2019,0.549453333
Spain,ESP,2019,271.5183465
Sri Lanka,LKA,2019,15.82378667
Sudan,SDN,2019,16.92868
Suriname,SUR,2019,1.870964333
Sweden,SWE,2019,170.6013681
Switzerland,CHE,2019,69.251305
Syria,SYR,2019,17.26518
Taiwan,TWN,2019,256.385092
Tajikistan,TJK,2019,20.39389
Tanzania,TZA,2019,7.040366667
Thailand,THA,2019,183.5360046
Togo,TGO,2019,0.384326667
Tonga,TON,2019,0.057
Trinidad and Tobago,TTO,2019,8.334966667
Tunisia,TUN,2019,19.98928667
Turkey,TUR,2019,290.442073
Turkmenistan,TKM,2019,21.18231333
Turks and Caicos Islands,TCA,2019,0.191666667
U.S. Pacific Islands,,2019,0.508666667
Uganda,UGA,2019,4.86881
Ukraine,UKR,2019,142.85101
United Arab Emirates,ARE,2019,130.029
United Kingdom,GBR,2019,319.5152395
United States,USA,2019,4161.834262
United States Virgin Islands,VIR,2019,0.575573333
Uruguay,URY,2019,15.98958
Uzbekistan,UZB,2019,61.04635367
Vanuatu,VUT,2019,0.074429333
Venezuela,VEN,2019,89.15997333
Vietnam,VNM,2019,259.4485086
Western Africa,,2019,75.40271495
Western Sahara,ESH,2019,0
World,OWID_WRL,2019,25899.80565
Yemen,YEM,2019,2.51348
Zambia,ZMB,2019,16.85462233
Zimbabwe,ZWE,2019,9.0461
Ivory Coast,CIV,2019,9.73
